iter	Passed	Remaining
404	6638	9753
405	6655	9737
406	6671	9719
407	6687	9702
408	6702	9685
409	6719	9669
410	6735	9653
411	6753	9638
412	6772	9625
413	6788	9608
414	6805	9593
415	6822	9577
416	6838	9561
417	6854	9543
418	6870	9527
419	6888	9512
420	6904	9495
421	6920	9478
422	6936	9461
423	6954	9447
424	6974	9436
425	6991	9421
426	7008	9405
427	7027	9391
428	7046	9378
429	7062	9361
430	7078	9344
431	7094	9327
432	7110	9310
433	7126	9293
434	7141	9276
435	7151	9251
436	7167	9234
437	7185	9219
438	7203	9205
439	7219	9188
440	7235	9171
441	7252	9155
442	7265	9135
443	7281	9118
444	7298	9103
445	7315	9086
446	7332	9071
447	7349	9055
448	7366	9040
449	7386	9028
450	7405	9014
451	7421	8997
452	7437	8980
453	7453	8964
454	7469	8947
455	7485	8930
456	7499	8911
457	7516	8894
458	7532	8878
459	7550	8863
460	7566	8846
461	7582	8829
462	7602	8817
463	7619	8801
464	7634	8784
465	7650	8767
466	7667	8750
467	7684	8735
468	7700	8718
469	7715	8700
470	7731	8683
471	7747	8666
472	7762	8648
473	7778	8631
474	7794	8614
475	7812	8600
476	7832	8587
477	7853	8575
478	7868	8558
479	7884	8541
480	7900	8524
481	7918	8509
482	7935	8494
483	7953	8479
484	7975	8468
485	7994	8455
486	8014	8442
487	8035	8430
488	8051	8413
489	8071	8401
490	8087	8384
491	8102	8365
492	8114	8345
493	8129	8327
494	8145	8309
495	8162	8294
496	8180	8278
497	8197	8263
498	8216	8249
499	8230	8230
500	8244	8211
501	8260	8194
502	8276	8177
503	8290	8159
504	8305	8140
505	8321	8124
506	8333	8103
507	8345	8082
508	8362	8066
509	8379	8050
510	8399	8037
511	8417	8023
512	8433	8006
513	8457	7997
514	8479	7985
515	8494	7967
516	8512	7952
517	8528	7935
518	8543	7918
519	8557	7899
520	8571	7880
521	8587	7863
522	8604	7847
523	8621	7831
524	8639	7817
525	8657	7801
526	8673	7785
527	8690	7768
528	8703	7749
