iter	Passed	Remaining
403	8820	13012
404	8842	12991
405	8862	12966
406	8885	12946
407	8905	12921
408	8924	12895
409	8944	12871
410	8964	12847
411	8984	12821
412	9005	12800
413	9029	12780
414	9055	12764
415	9076	12742
416	9101	12724
417	9118	12696
418	9136	12669
419	9152	12639
420	9168	12610
421	9183	12578
422	9202	12552
423	9220	12526
424	9240	12502
425	9257	12473
426	9274	12445
427	9293	12419
428	9311	12394
429	9329	12366
430	9345	12338
431	9361	12308
432	9377	12278
433	9392	12249
434	9406	12218
435	9424	12191
436	9440	12162
437	9461	12140
438	9479	12113
439	9495	12084
440	9511	12056
441	9527	12028
442	9544	12000
443	9559	11970
444	9576	11943
445	9593	11916
446	9608	11887
447	9624	11859
448	9641	11832
449	9663	11810
450	9681	11784
451	9697	11757
452	9712	11727
453	9727	11698
454	9743	11670
455	9759	11642
456	9774	11613
457	9789	11585
458	9805	11557
459	9820	11528
460	9836	11500
461	9851	11471
462	9867	11444
463	9890	11425
464	9909	11401
465	9925	11374
466	9941	11346
467	9958	11320
468	9976	11294
469	9993	11269
470	10008	11241
471	10025	11215
472	10042	11188
473	10058	11161
474	10077	11137
475	10096	11114
476	10113	11089
477	10130	11063
478	10147	11037
479	10163	11010
480	10181	10985
481	10198	10959
482	10215	10934
483	10232	10909
484	10249	10883
485	10269	10861
486	10291	10840
487	10309	10816
488	10327	10792
489	10345	10767
490	10363	10743
491	10381	10718
492	10396	10692
493	10412	10665
494	10427	10637
495	10444	10612
496	10464	10591
497	10488	10572
498	10510	10552
499	10525	10525
500	10541	10499
501	10559	10475
502	10576	10450
503	10593	10425
504	10610	10400
505	10627	10375
506	10641	10347
507	10656	10320
508	10673	10296
509	10692	10273
510	10710	10249
511	10728	10225
512	10746	10201
513	10761	10175
514	10778	10150
515	10794	10125
516	10810	10099
517	10825	10073
518	10842	10048
519	10860	10025
520	10877	10000
521	10893	9975
522	10910	9950
523	10930	9929
524	10947	9904
525	10964	9880
526	10982	9857
527	11001	9835
528	11019	9811
529	11040	9790
530	11061	9769
531	11086	9753
532	11109	9733
533	11133	9715
534	11160	9700
535	11182	9680
536	11205	9661
537	11224	9638
538	11244	9616
539	11263	9594
540	11279	9570
541	11298	9547
542	11314	9522
543	11329	9496
544	11345	9471
545	11367	9451
546	11384	9427
547	11401	9403
548	11418	9380
549	11434	9355
550	11451	9331
551	11470	9309
552	11488	9286
553	11505	9262
554	11521	9238
555	11539	9215
556	11556	9191
557	11577	9170
558	11596	9148
559	11612	9124
560	11628	9099
561	11647	9077
562	11663	9052
563	11679	9028
564	11695	9004
565	11713	8982
566	11730	8958
567	11749	8936
568	11768	8914
569	11786	8891
570	11803	8868
571	11819	8844
572	11836	8820
573	11853	8796
574	11868	8772
575	11885	8748
576	11903	8726
577	11922	8704
578	11937	8680
579	11954	8656
580	11971	8633
581	11995	8615
582	12015	8594
583	12032	8571
584	12047	8546
585	12066	8524
586	12082	8500
587	12098	8477
588	12116	8454
589	12131	8430
590	12148	8407
591	12165	8383
592	12182	8361
593	12204	8342
594	12223	8319
595	12239	8296
596	12256	8273
597	12273	8250
598	12290	8228
599	12307	8204
600	12323	8181
601	12338	8157
602	12354	8134
603	12371	8110
604	12389	8088
605	12411	8069
606	12427	8046
607	12443	8022
608	12459	7999
609	12476	7976
610	12492	7953
611	12507	7929
612	12523	7906
613	12539	7883
614	12555	7859
615	12570	7836
616	12586	7813
617	12603	7790
618	12624	7770
619	12640	7747
620	12656	7724
621	12672	7701
622	12687	7677
623	12706	7656
624	12721	7632
625	12738	7610
626	12754	7587
627	12769	7563
628	12785	7541
629	12801	7518
630	12818	7495
631	12839	7475
632	12856	7453
633	12873	7431
634	12890	7409
635	12906	7386
636	12922	7363
637	12938	7341
638	12954	7318
639	12970	7295
640	12987	7273
641	13002	7250
642	13019	7228
643	13039	7208
644	13056	7186
645	13073	7164
646	13089	7141
647	13104	7118
648	13120	7096
649	13137	7074
650	13153	7051
651	13168	7028
652	13184	7006
653	13201	6984
654	13218	6962
655	13237	6941
656	13257	6921
657	13274	6899
658	13289	6876
659	13304	6854
660	13321	6831
661	13337	6810
662	13353	6787
663	13370	6765
664	13387	6743
665	13403	6722
666	13419	6699
667	13434	6677
668	13451	6655
669	13469	6634
670	13487	6613
671	13504	6591
672	13520	6569
673	13535	6547
674	13550	6524
675	13566	6502
676	13581	6479
677	13597	6457
678	13612	6435
679	13628	6413
680	13647	6393
681	13664	6371
682	13686	6352
683	13702	6330
684	13718	6308
685	13732	6285
686	13748	6264
687	13764	6241
688	13780	6220
689	13796	6198
690	13811	6176
691	13828	6154
692	13844	6133
693	13858	6110
694	13875	6089
695	13894	6068
696	13910	6047
697	13925	6025
698	13941	6003
699	13956	5981
700	13973	5960
701	13989	5938
702	14005	5917
703	14021	5895
704	14038	5874
705	14054	5852
706	14070	5831
707	14088	5810
708	14107	5790
709	14124	5769
710	14139	5747
711	14155	5725
712	14172	5704
713	14188	5683
714	14204	5661
715	14223	5641
716	14240	5620
717	14258	5600
718	14321	5597
719	14349	5580
720	14378	5563
721	14394	5542
722	14409	5520
723	14426	5499
724	14442	5478
725	14457	5456
726	14471	5434
727	14487	5412
728	14503	5391
729	14518	5369
730	14534	5348
731	14553	5328
732	14570	5307
733	14586	5286
734	14604	5265
735	14619	5243
736	14634	5222
737	14650	5201
738	14665	5179
739	14680	5158
740	14698	5137
741	14714	5116
742	14729	5094
743	14748	5074
744	14772	5056
745	14788	5035
746	14804	5014
747	14819	4992
748	14836	4971
749	14851	4950
750	14866	4929
751	14881	4907
752	14896	4886
753	14912	4865
754	14926	4843
755	14942	4822
756	14959	4801
757	14977	4781
758	14992	4760
759	15008	4739
760	15024	4718
761	15040	4697
762	15055	4676
763	15072	4655
764	15088	4634
765	15104	4614
766	15121	4593
767	15135	4572
768	15151	4551
769	15167	4530
770	15183	4509
771	15223	4496
772	15239	4475
773	15256	4454
774	15271	4433
775	15287	4412
776	15303	4392
777	15320	4371
778	15335	4350
779	15350	4329
780	15367	4309
781	15384	4288
782	15402	4268
783	15420	4248
784	15435	4227
785	15451	4206
786	15466	4186
787	15482	4165
788	15498	4144
789	15513	4123
790	15530	4103
791	15546	4082
792	15563	4062
793	15578	4041
794	15596	4021
795	15618	4002
796	15632	3981
797	15648	3961
798	15663	3940
799	15679	3919
800	15694	3899
801	15710	3878
802	15725	3857
803	15740	3837
804	15756	3816
805	15773	3796
806	15788	3775
807	15805	3755
808	15824	3736
809	15842	3716
810	15857	3695
811	15872	3674
812	15888	3654
813	15903	3633
814	15919	3613
815	15934	3593
816	15949	3572
817	15963	3551
818	15978	3531
819	15995	3511
820	16011	3490
821	16029	3471
822	16049	3451
823	16066	3431
824	16081	3411
825	16096	3390
826	16111	3370
827	16126	3349
828	16142	3329
829	16157	3309
830	16173	3289
831	16188	3268
832	16204	3248
833	16221	3228
834	16237	3208
835	16256	3189
836	16274	3169
837	16289	3149
838	16305	3128
839	16320	3108
840	16336	3088
841	16352	3068
842	16367	3048
843	16382	3028
844	16397	3007
845	16413	2987
846	16428	2967
847	16444	2947
848	16461	2927
849	16481	2908
850	16497	2888
851	16514	2868
852	16529	2848
853	16545	2828
854	16559	2808
855	16575	2788
856	16591	2768
857	16606	2748
858	16624	2728
859	16642	2709
860	16659	2689
861	16674	2669
862	16690	2649
863	16707	2629
864	16723	2610
865	16739	2590
866	16755	2570
867	16770	2550
868	16785	2530
869	16800	2510
870	16815	2490
871	16832	2470
872	16848	2451
873	16865	2431
874	16882	2411
875	16900	2392
876	16916	2372
877	16931	2352
878	16945	2332
879	16963	2313
880	16978	2293
881	16993	2273
882	17008	2253
883	17023	2233
884	17038	2214
885	17056	2194
886	17072	2174
887	17090	2155
888	17108	2136
889	17125	2116
890	17140	2096
891	17155	2077
892	17170	2057
893	17185	2037
894	17199	2017
895	17215	1998
896	17231	1978
897	17248	1959
898	17265	1939
899	17281	1920
900	17297	1900
901	17313	1881
902	17332	1861
903	17348	1842
904	17364	1822
905	17380	1803
906	17397	1783
907	17412	1764
908	17428	1744
909	17443	1725
910	17458	1705
911	17473	1686
912	17488	1666
913	17502	1646
914	17517	1627
915	17536	1608
916	17552	1588
917	17567	1569
918	17583	1549
919	17600	1530
920	17615	1510
921	17631	1491
922	17646	1472
923	17663	1452
924	17680	1433
925	17697	1414
926	17713	1394
927	17730	1375
928	17747	1356
929	17763	1337
930	17779	1317
931	17795	1298
932	17813	1279
933	17830	1259
934	17844	1240
935	17859	1221
936	17875	1201
937	17891	1182
938	17907	1163
939	17922	1143
940	17937	1124
941	17953	1105
942	17973	1086
943	17990	1067
944	18007	1048
945	18021	1028
946	18037	1009
947	18053	990
948	18069	971
949	18085	951
950	18101	932
951	18118	913
952	18133	894
953	18149	875
954	18164	855
955	18182	836
956	18198	817
957	18214	798
958	18231	779
959	18249	760
960	18266	741
961	18286	722
962	18303	703
963	18318	684
964	18332	664
965	18347	645
966	18364	626
967	18383	607
968	18399	588
969	18416	569
970	18431	550
971	18447	531
972	18464	512
973	18479	493
974	18493	474
975	18511	455
976	18527	436
977	18543	417
978	18558	398
979	18574	379
980	18595	360
981	18612	341
982	18629	322
983	18644	303
984	18659	284
985	18674	265
986	18691	246
987	18708	227
988	18725	208
989	18742	189
990	18757	170
991	18775	151
992	18792	132
993	18812	113
994	18831	94
995	18846	75
996	18861	56
997	18877	37
998	18894	18
999	18908	0
